Division,0
Teams,36
Number,Name,School,City,State,Country
6312,Golden Tigers,,,,
6002,Basilisks,,,,
4855,Batteries In Black,,,,
8716,Techaholix,,,,
5215,THAT Team,,,,
201,BroncoBotics,,,,
3805,Atomic Robotics,,,,
7347,Children of the Matrix,,,,
4512,West Torrance Robotics,,,,
8605,RSF Portal Pounders,,,,
4133,Fusion,,,,
5939,Team AFOOFA,,,,
25,Rock N Roll Robots,,,,
3595,Schrodinger's Hat,,,,
6929,Data Force,,,,
5151,Infinity,,,,
542,WHS Robotics,,,,
3633,Bazinga Bots,,,,
5894,V-Cubed 4H,,,,
8441,Total Reboot,,,,
7832,Gear Gurus,,,,
3825,SnoBotz,,,,
7187,Team Axis,,,,
6148,Orange Pi RoBEARics,,,,
6137,RoBowties,,,,
4238,RCGFofPL,,,,
7198,Cyborg Ferrets,,,,
8045,Gromit's Grommets,,,,
5880,Mad Roboticists,,,,
7391,Error: 7391 Not Found,,,,
7057,Delete*.*,,,,
8660,Charging Champions,,,,
7483,PI Partial Intelligence,,,,
4604,The Force,,,,
6559,Geared Reaction,,,,
5953,Roarbotics,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,6312,Golden Tigers,14,2811,666,9
2,6002,Basilisks,14,2479,695,9
3,4855,Batteries In Black,14,2430,698,9
4,8716,Techaholix,14,1825,596,9
5,5215,THAT Team,12,2024,642,9
6,201,BroncoBotics,12,1867,581,9
7,3805,Atomic Robotics,12,1729,560,9
8,7347,Children of the Matrix,12,1603,617,9
9,4512,West Torrance Robotics,10,2605,605,9
10,8605,RSF Portal Pounders,10,2441,573,9
11,4133,Fusion,10,2413,557,9
12,5939,Team AFOOFA,10,2389,599,9
13,25,Rock N Roll Robots,10,2196,620,9
14,3595,Schrodinger's Hat,10,2168,426,9
15,6929,Data Force,10,2151,608,9
16,5151,Infinity,10,1988,581,9
17,542,WHS Robotics,10,1921,655,9
18,3633,Bazinga Bots,10,1905,698,9
19,5894,V-Cubed 4H,10,1890,605,9
20,8441,Total Reboot,10,1708,574,9
21,7832,Gear Gurus,10,1214,635,9
22,3825,SnoBotz,8,3377,613,9
23,7187,Team Axis,8,3012,608,9
24,6148,Orange Pi RoBEARics,8,2619,572,9
25,6137,RoBowties,8,2540,510,9
26,4238,RCGFofPL,8,2497,655,9
27,7198,Cyborg Ferrets,8,2157,556,9
28,8045,Gromit?s Grommets,8,2111,695,9
29,5880,Mad Roboticists,8,1882,399,9
30,7391,Error: 7391 Not Found,6,1930,666,9
31,7057,Delete*.*,4,2007,563,9
32,8660,Charging Champions,4,1901,444,9
33,7483,PI ? Partial Intelligence,4,1702,505,9
34,4604,The Force,4,1254,560,9
35,6559,Geared Reaction,2,1846,497,9
36,5953,Roarbotics,2,1568,384,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-57,239-288 B,7391,25,0,8660,7832,0,239.0,80.0,0.0,69.0,90.0,0.0,288.0,20.0,0.0,144.0,94.0,30.0
Q-58,394-392 R,6137,8441,0,5880,8045,0,394.0,20.0,0.0,230.0,84.0,60.0,392.0,50.0,0.0,106.0,236.0,0.0
Q-59,556-384 R,8605,7198,0,5215,5953,0,556.0,140.0,0.0,174.0,242.0,0.0,384.0,80.0,0.0,108.0,156.0,40.0
Q-60,599-350 R,6929,5939,0,6148,3595,0,599.0,160.0,0.0,167.0,262.0,10.0,350.0,140.0,0.0,138.0,72.0,0.0
Q-61,581-185 R,5151,201,0,3805,7187,0,581.0,20.0,0.0,359.0,202.0,0.0,185.0,20.0,0.0,27.0,118.0,20.0
Q-62,222-177 R,7347,4512,0,6559,7483,0,222.0,80.0,0.0,42.0,90.0,10.0,177.0,20.0,0.0,27.0,120.0,10.0
Q-63,60-302 B,3633,5894,0,6002,7057,0,60.0,20.0,0.0,0.0,40.0,0.0,302.0,50.0,0.0,150.0,92.0,10.0
Q-64,374-344 R,4238,8045,0,5953,25,0,374.0,70.0,0.0,82.0,222.0,0.0,344.0,110.0,0.0,86.0,148.0,0.0
Q-65,78-353 B,6929,8441,0,542,7832,0,78.0,50.0,0.0,18.0,10.0,0.0,353.0,70.0,0.0,87.0,196.0,0.0
Q-66,292-278 R,5880,5151,0,4604,3825,0,292.0,50.0,0.0,98.0,114.0,30.0,278.0,20.0,0.0,86.0,172.0,0.0
Q-67,554-190 R,4855,8716,0,8660,6559,0,554.0,80.0,0.0,302.0,172.0,0.0,190.0,70.0,0.0,50.0,60.0,10.0
Q-68,412-232 R,4133,5894,0,7483,201,0,412.0,110.0,0.0,0.0,282.0,20.0,232.0,50.0,0.0,92.0,40.0,50.0
Q-69,510-573 B,6002,6137,0,6312,8605,0,510.0,130.0,0.0,244.0,136.0,0.0,573.0,50.0,0.0,261.0,262.0,0.0
Q-70,295-302 B,5939,7187,0,5215,3633,0,295.0,80.0,0.0,69.0,146.0,0.0,302.0,20.0,0.0,32.0,120.0,130.0
Q-71,371-379 B,6148,4512,0,7198,3595,0,371.0,20.0,0.0,69.0,232.0,50.0,379.0,80.0,0.0,27.0,272.0,0.0
Q-72,100-341 B,7391,7057,0,3805,7347,0,100.0,20.0,0.0,20.0,60.0,0.0,341.0,80.0,0.0,163.0,98.0,0.0
Q-73,130-605 B,5880,5953,0,5894,542,0,130.0,20.0,0.0,0.0,60.0,50.0,605.0,20.0,0.0,323.0,262.0,0.0
Q-74,140-635 B,4604,6559,0,6002,7832,0,140.0,20.0,0.0,0.0,70.0,50.0,635.0,100.0,0.0,333.0,202.0,0.0
Q-75,607-92 R,5215,8045,0,8660,5151,0,607.0,140.0,0.0,211.0,256.0,0.0,92.0,20.0,0.0,32.0,40.0,0.0
Q-76,318-427 B,6148,5939,0,8716,3825,0,318.0,80.0,0.0,188.0,40.0,10.0,427.0,50.0,0.0,227.0,100.0,50.0
Q-77,366-426 B,6137,6929,0,201,7347,0,366.0,60.0,0.0,68.0,188.0,50.0,426.0,20.0,0.0,246.0,100.0,60.0
Q-78,505-210 R,25,7198,0,4855,7057,0,505.0,80.0,0.0,153.0,272.0,0.0,210.0,20.0,0.0,110.0,40.0,40.0
Q-79,498-216 R,4238,3805,0,8441,7483,0,498.0,20.0,0.0,258.0,100.0,120.0,216.0,50.0,0.0,66.0,90.0,10.0
Q-80,666-605 R,7391,6312,0,7187,4512,0,666.0,110.0,0.0,184.0,242.0,130.0,605.0,170.0,0.0,197.0,208.0,30.0
Q-81,332-324 R,3595,3633,0,4133,8605,0,332.0,80.0,0.0,60.0,192.0,0.0,324.0,70.0,0.0,90.0,164.0,0.0
SF-1-1,713-351 R,6312,5215,4238,201,5151,25,713.0,80.0,0.0,251.0,252.0,130.0,351.0,40.0,0.0,163.0,128.0,20.0
SF-1-2,370-606 B,6312,5215,4238,201,5151,25,370.0,30.0,0.0,240.0,80.0,20.0,606.0,110.0,0.0,240.0,166.0,90.0
SF-1-3,437-454 B,6312,5215,4238,201,5151,25,437.0,210.0,0.0,167.0,60.0,0.0,454.0,110.0,0.0,176.0,88.0,80.0
SF-2-1,312-357 B,6002,4855,5939,8716,542,5894,312.0,50.0,0.0,204.0,58.0,0.0,357.0,50.0,0.0,105.0,202.0,0.0
SF-2-2,642-650 B,6002,4855,5939,8716,542,5894,642.0,110.0,0.0,180.0,242.0,110.0,650.0,80.0,0.0,258.0,262.0,50.0
F-1,400-338 R,201,5151,25,8716,542,5894,400.0,70.0,0.0,160.0,110.0,60.0,338.0,50.0,0.0,66.0,222.0,0.0
F-2,309-194 R,201,5151,25,8716,542,5894,309.0,80.0,0.0,199.0,10.0,20.0,194.0,80.0,0.0,104.0,10.0,0.0
